weight,id,name,symbol,url
0.02,10804,FLOKI,FLOKI,https://coinmarketcap.com/currencies/floki-inu
0.02,4157,THORChain,RUNE,https://coinmarketcap.com/currencies/thorchain
0.02,8000,Lido DAO,LDO,https://coinmarketcap.com/currencies/lido-dao
0.02,6210,The Sandbox,SAND,https://coinmarketcap.com/currencies/the-sandbox
0.02,8526,Raydium,RAY,https://coinmarketcap.com/currencies/raydium
0.02,2416,Theta Network,THETA,https://coinmarketcap.com/currencies/theta-network
0.02,6538,Curve DAO Token,CRV,https://coinmarketcap.com/currencies/curve-dao-token
0.02,1437,Zcash,ZEC,https://coinmarketcap.com/currencies/zcash
0.02,7326,DeXe,DEXE,https://coinmarketcap.com/currencies/dexe
0.02,7080,Gala,GALA,https://coinmarketcap.com/currencies/gala
0.02,1720,IOTA,IOTA,https://coinmarketcap.com/currencies/iota
0.02,4558,Flow,FLOW,https://coinmarketcap.com/currencies/flow
0.02,16086,BitTorrent [New],BTT,https://coinmarketcap.com/currencies/bittorrent-new
0.02,23254,Core,CORE,https://coinmarketcap.com/currencies/core-dao
0.02,2011,Tezos,XTZ,https://coinmarketcap.com/currencies/tezos
0.02,8425,JasmyCoin,JASMY,https://coinmarketcap.com/currencies/jasmy
0.01,5665,Helium,HNT,https://coinmarketcap.com/currencies/helium
0.0,29779,Polyhedra Network,ZKJ,https://coinmarketcap.com/currencies/polyhedra-network
